GridSize,Steps,Threads,Time,Speedup,Efficiency,AmdahlSpeedup,GustafsonSpeedup,KarpFlattMetric
100x100,500,1,0.18,1.00,100.00,1.00,1.00,0.0000
100x100,500,2,0.11,1.53,76.37,1.82,1.90,0.5500
100x100,500,4,0.18,1.00,24.94,3.08,3.70,0.3250
100x100,500,8,0.10,1.83,22.82,4.71,7.30,0.2125
500x500,500,1,2.84,1.00,100.00,1.00,1.00,0.0000
500x500,500,2,2.82,1.01,50.38,1.82,1.90,0.5500
500x500,500,4,2.89,0.98,24.56,3.08,3.70,0.3250
500x500,500,8,2.56,1.11,13.84,4.71,7.30,0.2125
1000x1000,500,1,11.58,1.00,100.00,1.00,1
